sector;pregunta;respuesta
EL CARMEN;Pediluvio disponible y operativo;nan
EL CARMEN;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;Si
EL CARMEN;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;Si
EL CARMEN;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;Si
EL QUISCO;Arco de desinfección cumple a cabalidad con su función;NO
EL QUISCO;Cámara de fumigación cumple a cabalidad su función;Si
EL QUISCO;Disponibilidad de canastillo para desinfección de herramientas;Si
EL QUISCO;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
EL QUISCO;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
EL QUISCO;Ducha en buen estado y operativa con agua caliente;Si
EL QUISCO;Ausencia de insumos y/o materiales a la interperie;Si
EL QUISCO;Ausencia de animales silvestres dentro de las instalaciones ;NO
EL QUISCO;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;NO
EL QUISCO;Puerta de caseta danesa cerrada;nan
EL QUISCO;Ausencia de evidencia de aves silvestres dentro de los pabellones;NO
EL QUISCO;Pediluvio disponible y operativo;Si
EL QUISCO;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
EL QUISCO;Verificación de uso adecuado de banca danesa;Bueno
EL QUISCO;Portón incubadora cerrado;nan
EL QUISCO;Infraestructura impide el ingreso de aves u otros vectores a las plantas;nan
EL QUISCO;Ausencia de evidencia de aves silvestres dentro de las plantas;nan
EL QUISCO;Pediluvio disponible y operativo;nan
EL QUISCO;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;NO
EL QUISCO;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;Si
EL QUISCO;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;Si
EL ALMENDRO;Arco de desinfección cumple a cabalidad con su función;Si
EL ALMENDRO;Cámara de fumigación cumple a cabalidad su función;Si
EL ALMENDRO;Disponibilidad de canastillo para desinfección de herramientas;Si
EL ALMENDRO;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
EL ALMENDRO;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
EL ALMENDRO;Ducha en buen estado y operativa con agua caliente;Si
EL ALMENDRO;Ausencia de insumos y/o materiales a la interperie;Si
EL ALMENDRO;Ausencia de animales silvestres dentro de las instalaciones ;NO
EL ALMENDRO;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;NO
EL ALMENDRO;Puerta de caseta danesa cerrada;nan
EL ALMENDRO;Ausencia de evidencia de aves silvestres dentro de los pabellones;NO
EL ALMENDRO;Pediluvio disponible y operativo;Si
EL ALMENDRO;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
EL ALMENDRO;Verificación de uso adecuado de banca danesa;Bueno
EL ALMENDRO;Portón incubadora cerrado;nan
EL ALMENDRO;Infraestructura impide el ingreso de aves u otros vectores a las plantas;nan
EL ALMENDRO;Ausencia de evidencia de aves silvestres dentro de las plantas;nan
EL ALMENDRO;Pediluvio disponible y operativo;nan
EL ALMENDRO;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;Si
EL ALMENDRO;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;Si
EL ALMENDRO;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;Si
Checklist Santa Elena 2;Arco de desinfección cumple a cabalidad con su función;Si
Checklist Santa Elena 2;Cámara de fumigación cumple a cabalidad su función;Si
Checklist Santa Elena 2;Disponibilidad de canastillo para desinfección de herramientas;Si
Checklist Santa Elena 2;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Checklist Santa Elena 2;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Checklist Santa Elena 2;Ducha en buen estado y operativa con agua caliente;Si
Checklist Santa Elena 2;Ausencia de insumos y/o materiales a la interperie;Si
Checklist Santa Elena 2;Ausencia de animales silvestres dentro de las instalaciones ;NO
Checklist Santa Elena 2;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;NO
Checklist Santa Elena 2;Puerta de caseta danesa cerrada;Si
Checklist Santa Elena 2;Ausencia de evidencia de aves silvestres dentro de los pabellones;NO
Checklist Santa Elena 2;Pediluvio disponible y operativo;Si
Checklist Santa Elena 2;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
Checklist Santa Elena 2;Verificación de uso adecuado de banca danesa;Regular
Checklist Santa Elena 2;Portón incubadora cerrado;nan
Checklist Santa Elena 2;Infraestructura impide el ingreso de aves u otros vectores a las plantas;nan
Checklist Santa Elena 2;Ausencia de evidencia de aves silvestres dentro de las plantas;nan
Checklist Santa Elena 2;Pediluvio disponible y operativo;nan
Checklist Santa Elena 2;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;Si
Checklist Santa Elena 2;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;NO
Checklist Santa Elena 2;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;Si
Checklist Santa Elena 3;Arco de desinfección cumple a cabalidad con su función;Si
Checklist Santa Elena 3;Cámara de fumigación cumple a cabalidad su función;Si
Checklist Santa Elena 3;Disponibilidad de canastillo para desinfección de herramientas;Si
Checklist Santa Elena 3;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Checklist Santa Elena 3;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Checklist Santa Elena 3;Ducha en buen estado y operativa con agua caliente;Si
Checklist Santa Elena 3;Ausencia de insumos y/o materiales a la interperie;Si
Checklist Santa Elena 3;Ausencia de animales silvestres dentro de las instalaciones ;NO
Checklist Santa Elena 3;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;NO
Checklist Santa Elena 3;Puerta de caseta danesa cerrada;Si
Checklist Santa Elena 3;Ausencia de evidencia de aves silvestres dentro de los pabellones;NO
Checklist Santa Elena 3;Pediluvio disponible y operativo;Si
Checklist Santa Elena 3;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
Checklist Santa Elena 3;Verificación de uso adecuado de banca danesa;Bueno
Checklist Santa Elena 3;Portón incubadora cerrado;nan
Checklist Santa Elena 3;Infraestructura impide el ingreso de aves u otros vectores a las plantas;nan
Checklist Santa Elena 3;Ausencia de evidencia de aves silvestres dentro de las plantas;nan
Checklist Santa Elena 3;Pediluvio disponible y operativo;nan
Checklist Santa Elena 3;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;Si
Checklist Santa Elena 3;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;NO
Checklist Santa Elena 3;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;Si
Checklist Candelaria 4;Arco de desinfección cumple a cabalidad con su función;Si
Checklist Candelaria 4;Cámara de fumigación cumple a cabalidad su función;Si
Checklist Candelaria 4;Disponibilidad de canastillo para desinfección de herramientas;Si
Checklist Candelaria 4;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Checklist Candelaria 4;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Checklist Candelaria 4;Ducha en buen estado y operativa con agua caliente;Si
Checklist Candelaria 4;Ausencia de insumos y/o materiales a la interperie;Si
Checklist Candelaria 4;Ausencia de animales silvestres dentro de las instalaciones ;NO
Checklist Candelaria 4;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;NO
Checklist Candelaria 4;Puerta de caseta danesa cerrada;Si
Checklist Candelaria 4;Ausencia de evidencia de aves silvestres dentro de los pabellones;NO
Checklist Candelaria 4;Pediluvio disponible y operativo;Si
Checklist Candelaria 4;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
Checklist Candelaria 4;Verificación de uso adecuado de banca danesa;Si
Checklist Candelaria 4;Portón incubadora cerrado;nan
Checklist Candelaria 4;Infraestructura impide el ingreso de aves u otros vectores a las plantas;nan
Checklist Candelaria 4;Ausencia de evidencia de aves silvestres dentro de las plantas;nan
Checklist Candelaria 4;Pediluvio disponible y operativo;nan
Checklist Candelaria 4;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;Si
Checklist Candelaria 4;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;NO
Checklist Candelaria 4;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;Si
DOÑA EMA;Arco de desinfección cumple a cabalidad con su función;Si
DOÑA EMA;Cámara de fumigación cumple a cabalidad su función;Si
DOÑA EMA;Disponibilidad de canastillo para desinfección de herramientas;Si
DOÑA EMA;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
DOÑA EMA;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
DOÑA EMA;Ducha en buen estado y operativa con agua caliente;Si
DOÑA EMA;Ausencia de insumos y/o materiales a la interperie;NO
DOÑA EMA;Ausencia de animales silvestres dentro de las instalaciones ;NO
DOÑA EMA;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;NO
DOÑA EMA;Puerta de caseta danesa cerrada;Si
DOÑA EMA;Ausencia de evidencia de aves silvestres dentro de los pabellones;NO
DOÑA EMA;Pediluvio disponible y operativo;Si
DOÑA EMA;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
DOÑA EMA;Verificación de uso adecuado de banca danesa;Si
DOÑA EMA;Portón incubadora cerrado;nan
DOÑA EMA;Infraestructura impide el ingreso de aves u otros vectores a las plantas;nan
DOÑA EMA;Ausencia de evidencia de aves silvestres dentro de las plantas;nan
DOÑA EMA;Pediluvio disponible y operativo;nan
DOÑA EMA;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;Si
DOÑA EMA;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;Si
DOÑA EMA;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;Si
LOICA;Arco de desinfección cumple a cabalidad con su función;Si
LOICA;Cámara de fumigación cumple a cabalidad su función;Si
LOICA;Disponibilidad de canastillo para desinfección de herramientas;Si
LOICA;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
LOICA;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
LOICA;Ducha en buen estado y operativa con agua caliente;Si
LOICA;Ausencia de insumos y/o materiales a la interperie;NO
LOICA;Ausencia de animales silvestres dentro de las instalaciones ;NO
LOICA;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;NO
LOICA;Puerta de caseta danesa cerrada;Si
LOICA;Ausencia de evidencia de aves silvestres dentro de los pabellones;NO
LOICA;Pediluvio disponible y operativo;Si
LOICA;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
LOICA;Verificación de uso adecuado de banca danesa;Si
LOICA;Portón incubadora cerrado;nan
LOICA;Infraestructura impide el ingreso de aves u otros vectores a las plantas;nan
LOICA;Ausencia de evidencia de aves silvestres dentro de las plantas;nan
LOICA;Pediluvio disponible y operativo;nan
LOICA;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;Si
LOICA;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;Si
LOICA;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;Si
PICARQUIN;Arco de desinfección cumple a cabalidad con su función;NO
PICARQUIN;Cámara de fumigación cumple a cabalidad su función;Si
PICARQUIN;Disponibilidad de canastillo para desinfección de herramientas;Si
PICARQUIN;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
PICARQUIN;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
PICARQUIN;Ducha en buen estado y operativa con agua caliente;Si
PICARQUIN;Ausencia de insumos y/o materiales a la interperie;Si
PICARQUIN;Ausencia de animales silvestres dentro de las instalaciones ;Si
PICARQUIN;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;Si
PICARQUIN;Puerta de caseta danesa cerrada;Si
PICARQUIN;Ausencia de evidencia de aves silvestres dentro de los pabellones;Si
PICARQUIN;Pediluvio disponible y operativo;Si
PICARQUIN;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
PICARQUIN;Verificación de uso adecuado de banca danesa;Bueno
PICARQUIN;Portón incubadora cerrado;nan
PICARQUIN;Infraestructura impide el ingreso de aves u otros vectores a las plantas;nan
PICARQUIN;Ausencia de evidencia de aves silvestres dentro de las plantas;nan
PICARQUIN;Pediluvio disponible y operativo;nan
PICARQUIN;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;Si
PICARQUIN;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;Si
PICARQUIN;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;Si
Olivos 7;Arco de desinfección cumple a cabalidad con su función;Regular
Olivos 7;Cámara de fumigación cumple a cabalidad su función;Si
Olivos 7;Disponibilidad de canastillo para desinfección de herramientas;Si
Olivos 7;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Olivos 7;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Olivos 7;Ducha en buen estado y operativa con agua caliente;Si
Olivos 7;Ausencia de insumos y/o materiales a la interperie;Si
Olivos 7;Ausencia de animales silvestres dentro de las instalaciones ;Si
Olivos 7;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;Si
Olivos 7;Puerta de caseta danesa cerrada;Si
Olivos 7;Ausencia de evidencia de aves silvestres dentro de los pabellones;Si
Olivos 7;Pediluvio disponible y operativo;Si
Olivos 7;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
Olivos 7;Verificación de uso adecuado de banca danesa;Si
Olivos 7;Portón incubadora cerrado;nan
Olivos 7;Infraestructura impide el ingreso de aves u otros vectores a las plantas;nan
Olivos 7;Ausencia de evidencia de aves silvestres dentro de las plantas;nan
Olivos 7;Pediluvio disponible y operativo;nan
Olivos 7;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;NO
Olivos 7;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;Si
Olivos 7;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;Si
OLIVOS 6;Arco de desinfección cumple a cabalidad con su función;Si
OLIVOS 6;Cámara de fumigación cumple a cabalidad su función;Si
OLIVOS 6;Disponibilidad de canastillo para desinfección de herramientas;Si
OLIVOS 6;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
OLIVOS 6;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
OLIVOS 6;Ducha en buen estado y operativa con agua caliente;Si
OLIVOS 6;Ausencia de insumos y/o materiales a la interperie;Si
OLIVOS 6;Ausencia de animales silvestres dentro de las instalaciones ;Si
OLIVOS 6;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;Si
OLIVOS 6;Puerta de caseta danesa cerrada;NO
OLIVOS 6;Ausencia de evidencia de aves silvestres dentro de los pabellones;Si
OLIVOS 6;Pediluvio disponible y operativo;NO
OLIVOS 6;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
OLIVOS 6;Verificación de uso adecuado de banca danesa;Si
OLIVOS 6;Portón incubadora cerrado;nan
OLIVOS 6;Infraestructura impide el ingreso de aves u otros vectores a las plantas;nan
OLIVOS 6;Ausencia de evidencia de aves silvestres dentro de las plantas;nan
OLIVOS 6;Pediluvio disponible y operativo;nan
OLIVOS 6;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;NO
OLIVOS 6;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;Si
OLIVOS 6;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;Si
OLIVOS 5;Arco de desinfección cumple a cabalidad con su función;Si
OLIVOS 5;Cámara de fumigación cumple a cabalidad su función;Si
OLIVOS 5;Disponibilidad de canastillo para desinfección de herramientas;Si
OLIVOS 5;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);NO
OLIVOS 5;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
OLIVOS 5;Ducha en buen estado y operativa con agua caliente;Si
OLIVOS 5;Ausencia de insumos y/o materiales a la interperie;Si
OLIVOS 5;Ausencia de animales silvestres dentro de las instalaciones ;Si
OLIVOS 5;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;Si
OLIVOS 5;Puerta de caseta danesa cerrada;Si
OLIVOS 5;Ausencia de evidencia de aves silvestres dentro de los pabellones;Si
OLIVOS 5;Pediluvio disponible y operativo;Si
OLIVOS 5;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
OLIVOS 5;Verificación de uso adecuado de banca danesa;Si
OLIVOS 5;Portón incubadora cerrado;nan
OLIVOS 5;Infraestructura impide el ingreso de aves u otros vectores a las plantas;nan
OLIVOS 5;Ausencia de evidencia de aves silvestres dentro de las plantas;nan
OLIVOS 5;Pediluvio disponible y operativo;nan
OLIVOS 5;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;NO
OLIVOS 5;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;Si
OLIVOS 5;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;Si
Olivos 4;Arco de desinfección cumple a cabalidad con su función;Si
Olivos 4;Cámara de fumigación cumple a cabalidad su función;Si
Olivos 4;Disponibilidad de canastillo para desinfección de herramientas;Si
Olivos 4;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Olivos 4;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Olivos 4;Ducha en buen estado y operativa con agua caliente;Si
Olivos 4;Ausencia de insumos y/o materiales a la interperie;Si
Olivos 4;Ausencia de animales silvestres dentro de las instalaciones ;Si
Olivos 4;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;Si
Olivos 4;Puerta de caseta danesa cerrada;Si
Olivos 4;Ausencia de evidencia de aves silvestres dentro de los pabellones;Si
Olivos 4;Pediluvio disponible y operativo;Si
Olivos 4;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
Olivos 4;Verificación de uso adecuado de banca danesa;Si
Olivos 4;Portón incubadora cerrado;nan
Olivos 4;Infraestructura impide el ingreso de aves u otros vectores a las plantas;nan
Olivos 4;Ausencia de evidencia de aves silvestres dentro de las plantas;nan
Olivos 4;Pediluvio disponible y operativo;nan
Olivos 4;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;NO
Olivos 4;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;Si
Olivos 4;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;Si
OLIVOS 3;Arco de desinfección cumple a cabalidad con su función;Si
OLIVOS 3;Cámara de fumigación cumple a cabalidad su función;Si
OLIVOS 3;Disponibilidad de canastillo para desinfección de herramientas;Si
OLIVOS 3;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
OLIVOS 3;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
OLIVOS 3;Ducha en buen estado y operativa con agua caliente;Si
OLIVOS 3;Ausencia de insumos y/o materiales a la interperie;NO
OLIVOS 3;Ausencia de animales silvestres dentro de las instalaciones ;Si
OLIVOS 3;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;Si
OLIVOS 3;Puerta de caseta danesa cerrada;Si
OLIVOS 3;Ausencia de evidencia de aves silvestres dentro de los pabellones;Si
OLIVOS 3;Pediluvio disponible y operativo;Si
OLIVOS 3;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
OLIVOS 3;Verificación de uso adecuado de banca danesa;Si
OLIVOS 3;Portón incubadora cerrado;nan
OLIVOS 3;Infraestructura impide el ingreso de aves u otros vectores a las plantas;nan
OLIVOS 3;Ausencia de evidencia de aves silvestres dentro de las plantas;nan
OLIVOS 3;Pediluvio disponible y operativo;nan
OLIVOS 3;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;NO
OLIVOS 3;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;Si
OLIVOS 3;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;Si
OLIVOS 2;Arco de desinfección cumple a cabalidad con su función;Si
OLIVOS 2;Cámara de fumigación cumple a cabalidad su función;Si
OLIVOS 2;Disponibilidad de canastillo para desinfección de herramientas;Si
OLIVOS 2;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
OLIVOS 2;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
OLIVOS 2;Ducha en buen estado y operativa con agua caliente;Si
OLIVOS 2;Ausencia de insumos y/o materiales a la interperie;NO
OLIVOS 2;Ausencia de animales silvestres dentro de las instalaciones ;Si
OLIVOS 2;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;Si
OLIVOS 2;Puerta de caseta danesa cerrada;Si
OLIVOS 2;Ausencia de evidencia de aves silvestres dentro de los pabellones;Si
OLIVOS 2;Pediluvio disponible y operativo;Si
OLIVOS 2;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
OLIVOS 2;Verificación de uso adecuado de banca danesa;Si
OLIVOS 2;Portón incubadora cerrado;nan
OLIVOS 2;Infraestructura impide el ingreso de aves u otros vectores a las plantas;nan
OLIVOS 2;Ausencia de evidencia de aves silvestres dentro de las plantas;nan
OLIVOS 2;Pediluvio disponible y operativo;nan
OLIVOS 2;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;NO
OLIVOS 2;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;Si
OLIVOS 2;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;Si
OLIVOS 1;Arco de desinfección cumple a cabalidad con su función;Si
OLIVOS 1;Cámara de fumigación cumple a cabalidad su función;Si
OLIVOS 1;Disponibilidad de canastillo para desinfección de herramientas;Si
OLIVOS 1;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
OLIVOS 1;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
OLIVOS 1;Ducha en buen estado y operativa con agua caliente;Si
OLIVOS 1;Ausencia de insumos y/o materiales a la interperie;Si
OLIVOS 1;Ausencia de animales silvestres dentro de las instalaciones ;Si
OLIVOS 1;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;Si
OLIVOS 1;Puerta de caseta danesa cerrada;Si
OLIVOS 1;Ausencia de evidencia de aves silvestres dentro de los pabellones;Si
OLIVOS 1;Pediluvio disponible y operativo;Si
OLIVOS 1;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
OLIVOS 1;Verificación de uso adecuado de banca danesa;Si
OLIVOS 1;Portón incubadora cerrado;nan
OLIVOS 1;Infraestructura impide el ingreso de aves u otros vectores a las plantas;nan
OLIVOS 1;Ausencia de evidencia de aves silvestres dentro de las plantas;nan
OLIVOS 1;Pediluvio disponible y operativo;nan
OLIVOS 1;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;NO
OLIVOS 1;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;Si
OLIVOS 1;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;Si
Ur 3;Arco de desinfección cumple a cabalidad con su función;Regular
Ur 3;Cámara de fumigación cumple a cabalidad su función;Si
Ur 3;Disponibilidad de canastillo para desinfección de herramientas;Si
Ur 3;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Ur 3;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Ur 3;Ducha en buen estado y operativa con agua caliente;Si
Ur 3;Ausencia de insumos y/o materiales a la interperie;Si
Ur 3;Ausencia de animales silvestres dentro de las instalaciones ;Si
Ur 3;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;Si
Ur 3;Puerta de caseta danesa cerrada;Si
Ur 3;Ausencia de evidencia de aves silvestres dentro de los pabellones;Si
Ur 3;Pediluvio disponible y operativo;Si
Ur 3;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
Ur 3;Verificación de uso adecuado de banca danesa;Si
Ur 3;Portón incubadora cerrado;nan
Ur 3;Infraestructura impide el ingreso de aves u otros vectores a las plantas;nan
Ur 3;Ausencia de evidencia de aves silvestres dentro de las plantas;nan
Ur 3;Pediluvio disponible y operativo;nan
Ur 3;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;NO
Ur 3;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;Si
Ur 3;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;Si
Ur 2;Arco de desinfección cumple a cabalidad con su función;Si
Ur 2;Cámara de fumigación cumple a cabalidad su función;Si
Ur 2;Disponibilidad de canastillo para desinfección de herramientas;Si
Ur 2;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Ur 2;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Ur 2;Ducha en buen estado y operativa con agua caliente;Si
Ur 2;Ausencia de insumos y/o materiales a la interperie;NO
Ur 2;Ausencia de animales silvestres dentro de las instalaciones ;Si
Ur 2;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;Si
Ur 2;Puerta de caseta danesa cerrada;Si
Ur 2;Ausencia de evidencia de aves silvestres dentro de los pabellones;Si
Ur 2;Pediluvio disponible y operativo;Si
Ur 2;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
Ur 2;Verificación de uso adecuado de banca danesa;Si
Ur 2;Portón incubadora cerrado;nan
Ur 2;Infraestructura impide el ingreso de aves u otros vectores a las plantas;nan
Ur 2;Ausencia de evidencia de aves silvestres dentro de las plantas;nan
Ur 2;Pediluvio disponible y operativo;nan
Ur 2;No se encuentra alimento fuera de los sistemas de abastecimiento de alimento;NO
Ur 2;Contenedor exclusivo para movimiento de aves muertas dentro del pabellón;Si
Ur 2;Unidad de transferencia se encuentra debidamente limpia y cerrada, sin mortalidad expuesta;Si
Ur 1;Arco de desinfección cumple a cabalidad con su función;Si
Ur 1;Cámara de fumigación cumple a cabalidad su función;Si
Ur 1;Disponibilidad de canastillo para desinfección de herramientas;Si
Ur 1;Todo personal interno presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Malo
Ur 1;Todo personal externo presente registra ingreso en Sistema Digital de Bioseguridad (confirmar en plataforma digital de ingreso);Si
Ur 1;Ducha en buen estado y operativa con agua caliente;Si
Ur 1;Ausencia de insumos y/o materiales a la interperie;Si
Ur 1;Ausencia de animales silvestres dentro de las instalaciones ;Si
Ur 1;Infraestructura impide el ingreso de aves u otros vectores a los pabellones;Si
Ur 1;Puerta de caseta danesa cerrada;Si
Ur 1;Ausencia de evidencia de aves silvestres dentro de los pabellones;Si
Ur 1;Pediluvio disponible y operativo;Si
Ur 1;El calzado interno de pabellón se diferencia del calzado de tránsito;nan
Ur 1;Verificación de uso adecuado de banca danesa;Si
